"detail_link","map-infowindow__heading","map-infowindow__summary","card__address","card__address 2","card__phone"
"https://www.visitpittsburgh.com/directory/the-bigelow-grille/","The Bigelow Grille","4-Star rated by the Pittsburgh Post Gazette and voted Top 10 Restaurants in Pittsburgh by msn.com. Open for breakfast, lunch and dinner 7 days a week.","One Bigelow Square","Pittsburgh, Pennsylvania 15219","(412) 281-5013"
"https://www.visitpittsburgh.com/directory/3-rivers-restaurant/","3 Rivers Restaurant","Fusing the local traditional cuisine of Pittsburgh with modern American tastes and techniques, this upscale eatery offers culinary treats that …","600 Commonwealth Place, Wyndham Grand Pittsburgh Downtown","Pittsburgh, Pennsylvania 15222","(412) 391-4600"
"https://www.visitpittsburgh.com/directory/bellfarm-kitchen-bar/","bellfarm Kitchen | Bar","Enjoy a casually chic atmosphere at the bellfarm Kitchen | Bar serving regionally inspired, farm-to-table dishes, craft beers and premium cocktails. …","1111 Airport Blvd., PO Box 12420","Hyatt Regency Pittsburgh International Airport","(724) 899-6050"
"https://www.visitpittsburgh.com/directory/barcolena-wine-bar/","Barcolena Wine Bar","Barcelona Wine Bar is a warm and welcoming tapas bar inspired by the culture of Spain. The ever-changing and inclusive menu is focused on clean …","922 Penn Ave.","Pittsburgh, Pennsylvania 15222","(412) 525-7722"
"https://www.visitpittsburgh.com/directory/alta-via-market-square/","Alta Via Market Square","Alta Via—named for the renowned footpath through the Dolomites—is inspired by the fresh cuisine and active lifestyle of both California wine country …","Two PPG Place, #150","Pittsburgh, Pennsylvania 15222","(412) 981-5155"
"https://www.visitpittsburgh.com/directory/butcher-and-the-rye/","Butcher and the Rye","Butcher and the Rye is a true destination in Pittsburgh, celebrated for its expansive whiskey collection and inventive take on rustic American …","212 6th St.","Pittsburgh, Pennsylvania 15222","(412) 391-2752"
"https://www.visitpittsburgh.com/directory/burn-by-rocky-patel/","BURN by Rocky Patel","BURN by Rocky Patel Pittsburgh is an evolution in cigar lounges fashioned for those who enjoy fine cigars, premium spirits, delectable cuisine, …","346 North Shore Dr.","Pittsburgh, Pennsylvania 15212","(412) 586-5854"
"https://www.visitpittsburgh.com/directory/alihans-mediterranean-cuisine/","Alihan's Mediterranean Cuisine","Alihan's brings a piece of Turkey to Downtown Pittsburgh, offers a relaxing atmosphere with flavorful meals of Turkish and Middle-Eastern …","124 6th St.","Pittsburgh, Pennsylvania 15222","(412) 888-0630"
"https://www.visitpittsburgh.com/directory/the-cafe-carnegie/","The Cafe Carnegie","Under the direction of two time James Beard Award semi-finalist Chef Sonja Finn, The Café Carnegie brings approachable cooking using …","4400 Forbes Ave., The Carnegie","Pittsburgh, Pennsylvania 15213","(412) 622-3225"
"https://www.visitpittsburgh.com/directory/dianoias-eatery/","DiAnoia's Eatery","An award-winning Italian restaurant in the Strip District, serving as a café by day and a full-service ristorante by night, specializing in homemade …","2549 Penn Ave","Pittsburgh, Pennsylvania 15222","(412) 918-1875"
"https://www.visitpittsburgh.com/directory/bar-louie-north-shore/","Bar Louie North Shore","Bar Louie, the Original Gastrobar. Where people + great food + great drinks = a great time. Bar Louie’s warm surroundings, are filled with nightlife …","330 North Shore Dr., Bldg. 1B","Pittsburgh, Pennsylvania 15212","(412) 643-4500"
"https://www.visitpittsburgh.com/directory/burghers-brewing-co/","Burghers Brewing Co.","Burghers Brewing is Pittsburgh’s brewery and taproom, where craft beer innovation meets culinary excellence. Renowned for its exceptional beers and …","3601 Butler St.","Pittsburgh, Pennsylvania 15201","(412) 904-2622"
"https://www.visitpittsburgh.com/directory/aruba-island-bowls-cafe/","Aruba Island Bowls Cafe","Introducing Aruba Island Bowls Cafe #1 soul-satisfying coffee, smoothie and Juice bar acai spot in Strip District, Pittsburgh!!! Launched in 2023, …","1601 Penn Ave.","Pittsburgh, Pennsylvania 15222","(412) 440-1601"
"https://www.visitpittsburgh.com/directory/aqueous/","Aqueous","The menu features progressive American interpretations of the finest selection from land and sea. This exclusive restaurant is located at Falling …","1001 Lafayette St., Nemacolin","Farmington, Pennsylvania 15437","(866) 406-6957"
"https://www.visitpittsburgh.com/directory/balvanera/","BALVANERA","Representing the lifestyle of Buenos Aires-portena fare, incredible South American wines, craft cocktails, and a vibrant, social energy, BALVANERA …","1660 Smallman St.","Pittsburgh, Pennsylvania 15222","(412) 586-5617"
"https://www.visitpittsburgh.com/directory/alihans-coffee-breakfast/","Alihan's Coffee & Breakfast","Waffles, crepes, omelets and Turkish specialties, salads, sandwiches, homemade desserts, pastries and great coffees and teas are served at …","129 6th St.","Pittsburgh, Pennsylvania 15222","(412) 742-4053"
"https://www.visitpittsburgh.com/directory/bills-bar-burger/","Bill's Bar &  Burger","Bill's is in the 'Burgh! We've brought our classic Bill’s burgers, beers, and milkshakes, while adding a bit of Pittsburgh to our menu! …","1001 Liberty Ave., Westin Pittsburgh","Pittsburgh, Pennsylvania 15222","(412) 567-2300"
"https://www.visitpittsburgh.com/directory/burgatory-north-shore/","Burgatory North Shore","Burgatory is a friendly little joint that makes some of the best burgers and shakes you've ever had. We don't serve frozen processed stuff …","342 North Shore Dr.","Pittsburgh, Pennsylvania 15212","(412) 586-5846"
"https://www.visitpittsburgh.com/directory/bistro-to-go-caf%C3%A9-catering-dining-nightlife/","Bistro To Go Café & Catering","Bistro To Go Café & Catering is a full-service catering & event planning company located on Pittsburgh's historic northside. We specialize in …","415 E. Ohio St.","Pittsburgh, Pennsylvania 15212","(412) 231-0218"
"https://www.visitpittsburgh.com/directory/braddocks-rebellion/","Braddock's Rebellion","Classic comfort food with a spirit of Pittsburgh local spin.","107 Sixth St., Renaissance Pittsburgh Hotel","Pittsburgh, Pennsylvania 15222","(412) 992-2005"
"https://www.visitpittsburgh.com/directory/bakersfield-tacostequilawhiskey/","Bakersfield - Tacos.Tequila.Whiskey.","In Pittsburgh, Bakersfield serves authentic Mexican street fare and a selection of over 100 tequilas and American whiskeys. Inspired by the country …","940 Penn Ave.","Pittsburgh, Pennsylvania 15222","(412) 586-5024"
"https://www.visitpittsburgh.com/directory/avva-modern-mediterranean-cuisine/","AVVA Modern Mediterranean Cuisine","AVVA Modern Mediterranean Cuisine brings the bold, vibrant flavors of the Mediterranean coast to your table with a fresh twist. Enjoy shareable …","235 Commercial Ave.","Aspinwall, Pennsylvania 15215","(412) 206-7878"
