fdn-teaser-headline,fdn-teaser-subheadline,fdn-event-teaser-location-link,fdn-inline-split-list,uk-text-muted,fdn-event-teaser-price,fdn-teaser-tag-link,fdn-teaser-description
Poetry & Pints,"Fourth Thursday of every month, 6 p.m.",Burgh'ers Restaurant,"100 Perry Hwy., Harmony",Harmony,Free,Other Stuff,"It's a laid back night of beer and reading with Poetry and Pints at Burgh'ers in Lawrenceville. The monthly reading kicked off in 2016 at East End Brewing and it's developed a strong following and tight-knit community of writers and readers who enjoy the no-pressure environment and workshop-style structure. Read your own work or cover someone else's; plus, ""shameless self-promotion is HIGHLY ENCOURAGED,"" so don't be afraid to go off.
          
        
          
            724-473-0710"
Biophilia: Pittsburgh,"First Thursday of every month, 5:30 p.m.",Phipps Conservatory & Botanical Gardens,"1 Schenley Park, Pittsburgh",Oakland,,Other Stuff,"A meet-up group dedicated to strengthening the bond between people & the natural world. Come discuss an enviromental topic & share ideas.
          
        
          
            412-622-6914"
First Friday 5Rhythms® Waves,"First Friday of every month, 7-9 p.m.",Wightman School,"5604 Solway, Pittsburgh",Squirrel Hill,25.00,Dance,"The 5Rhythms® comprise simple movement practice designed to release the dancer that lives in everybody, no matter what shape, size, age limitation and experience. To find your dance is to find yourself, at your most fluid and creative level.

While the practice itself is the essence of simplicity, it has the power to catalyze deep healing and creative expression. The primary teaching of this work is: If you put the psyche in motion, it will heal itself.

The five rhythms are Flowing, Staccato, Chaos, Lyrical and Stillness. They come together to create the Wave, a movement meditation practice.
          
        
          
            412-370-3607"
"Pandemic : Global Dancehall, Cumbia, Bhangra, Balkan Bass","First Friday of every month, 9:30 p.m. and Third Saturday of every month, 9:30 p.m.",Brillobox,"4104 Penn Ave., Pittsburgh",Bloomfield,,DJs,412-621-4900
Pittsburgh Pride Bowling,"Second Sunday of every month, 6:30 p.m.",Forward Lanes,"5844 Forward Ave., Pittsburgh",Squirrel Hill,,Other Stuff,"Bowling league for LGBT community & allies.
          
        
          
            724-712-1745"
Irish Traditional Music,"Third Thursday of every month, 7:30-10 p.m.",J. Gough's Tavern,"4213 Murray Ave, Pittsburgh",Greenfield,Free,World,"All levels welcome.
          
        
          
            (412) 315-7029"
Salsa Fridays,"Fridays, 10:30 p.m.-1:30 a.m.",Cabaret at Theater Square,"655 Penn Ave., Pittsburgh",Downtown,,Other Stuff,412-325-6769
Beta Stage,"Sat., Feb. 28, 6-7:30 p.m., Sat., March 28, 6-7:30 p.m., Sat., April 25, 6-7:30 p.m., Sat., May 30, 6-7:30 p.m. and Sat., June 27, 6-7:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh",Downtown,$10.00,Comedy,"Support emerging talent and join us for Beta Stage, a monthly showcase of fresh comedy! Experience the excitement of being a part of the creative process as we provide a platform for producers to present and refine new ideas in front of a live audience. New concepts get the opportunity to be workshopped live, allowing for real-time feedback and audience interaction. This show is a part of Arcade's incubator series, which is all about experimentation, trying new things, and elevating the art of comedy. This monthly showcase is the place to see tomorrow's comedy today!
          
        
          
            (412) 339-0608"
Close Encounters with Well Known Strangers,"Last Saturday of every month, 8-9:30 p.m. Continues through June 27",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh",Downtown,$15.00,Comedy,"See improv troupe Well Known Strangers perform an unscripted play based on audience suggestions. The scenes typically happen in close proximity in time and space. The storylines are often weird, wacky, and wonderful, pushing the boundaries of the imagination. Don't miss out on all the funny things that happened all at once--as told by this fun-loving group of goofs.
          
        
          
            (412) 339-0608"
Level Up Stand Up,"First Friday of every month, 9-10:30 p.m. Continues through Aug. 7",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh",Downtown,$15.00,Comedy,"Get ready to laugh like never before at Arcade Comedy Theater's electrifying Level Up Stand-Up showcase! Every month, our stage lights up with a fresh lineup of Pittsburgh’s funniest comics, rising stars, and special touring guests. Enjoy an unbeatable night of comedy for just $15 (with $5 BYOB). Join us in the Cultural District for an unforgettable, fun-filled evening that promises non-stop laughter and incredible entertainment!
          
        
          
            (412) 339-0608"
